gene,alias
ADCY5,FDFM
ADCY5,ADCY5
ADCY6,AC6
ADCY6,LCCS8
ADCY6,ADCY6
ADCY7,AC7
ADCY7,ADCY7
ADCY8,AC8
ADCY8,ADCY3
ADCY8,HBAC1
ADCY8,ADCY8
ADCY9,AC9
ADCY9,ACIX
ADCY9,ADCY9
ADCYAP1,PACAP
ADCYAP1,ADCYAP1
ADCYAP1R1,PAC1
ADCYAP1R1,PAC1R
ADCYAP1R1,PACAPR
ADCYAP1R1,PACAPRI
ADCYAP1R1,ADCYAP1R1
ADD1,ADDA
ADD1,ADD1
ADD2,ADDB
ADD2,ADD2
ADD3,ADDL
ADD3,CPSQ3
ADD3,ADD3
ADFN,ALDS
ADFN,ADFN
PLIN2,ADFP
PLIN2,ADRP
PLIN2,PLIN2
ADH1A,ADH1
ADH1A,ADH1A
ADH1B,ADH2
ADH1B,HEL-S-117
ADH1B,ADH1B
ADH1C,ADH3
ADH1C,ADH1C
ADH4,ADH-2
ADH4,HEL-S-4
ADH4,ADH4
ADH5,ADH-3
ADH5,ADHX
ADH5,AMEDS
ADH5,BMFS7
ADH5,FALDH
ADH5,FDH
ADH5,GSH-FDH
ADH5,GSNOR
ADH5,HEL-S-60p
ADH5,ADH5
ADH6,ADH-5
ADH6,ADH6
ADH7,ADH4
ADH7,ADH7
ADK,AK
ADK,ADK
ADM,AM
ADM,PAMP
ADM,ADM
ADORA1,RDC7
ADORA1,ADORA1
ADORA2A,A2aR
ADORA2A,ADORA2
ADORA2A,RDC8
ADORA2A,ADORA2A
ADORA2B,ADORA2
ADORA2B,ADORA2B
ADORA2BP1,ADORA2BP
ADORA2BP1,ADORA2BP1
ADORA3,A3AR
ADORA3,ADORA3
ADPRH,ARH1
ADPRH,hARH1
ADPRH,ADPRH
PARP1,ADPRT
PARP1,ADPRT 1
PARP1,ADPRT1
PARP1,ARTD1
PARP1,PARP
PARP1,PARP-1
PARP1,PPOL
PARP1,pADPRT-1
PARP1,PARP1
PARP4,ADPRTL1
PARP4,ARTD4
PARP4,PARP-4
PARP4,PARPL
PARP4,PH5P
PARP4,VAULT3
PARP4,VPARP
PARP4,VWA5C
PARP4,p193
PARP4,PARP4
PARP1P1,ADPRTP1
PARP1P1,PPOLP1
PARP1P1,PARP1P1
PARP1P2,ADPRTP2
PARP1P2,PPOLP2
PARP1P2,PARP1P2
ADRA1D,ADRA1
ADRA1D,ADRA1A
ADRA1D,ADRA1R
ADRA1D,ALPHA1
ADRA1D,DAR
ADRA1D,dJ779E11.2
ADRA1D,ADRA1D
ADRA1B,ADRA1
ADRA1B,ALPHA1BAR
ADRA1B,ADRA1B
ADRA1A,ADRA1C
ADRA1A,ADRA1L1
ADRA1A,ALPHA1AAR
ADRA1A,ADRA1A
ADRA2A,ADRA2
ADRA2A,ADRA2R
ADRA2A,ADRAR
ADRA2A,ALPHA2AAR
ADRA2A,ZNF32
ADRA2A,ADRA2A
ADRA2B,ADRA2L1
ADRA2B,ADRA2RL1
ADRA2B,ADRARL1
ADRA2B,ALPHA2BAR
ADRA2B,FAME2
ADRA2B,alpha-2BAR
ADRA2B,ADRA2B
ADRA2C,ADRA2L2
ADRA2C,ADRA2RL2
ADRA2C,ADRARL2
ADRA2C,ALPHA2CAR
ADRA2C,ADRA2C
ADRB1,ADRB1R
ADRB1,B1AR
ADRB1,BETA1AR
ADRB1,FNSS2
ADRB1,RHR
ADRB1,ADRB1
ADRB2,ADRB2R
ADRB2,ADRBR
ADRB2,B2AR
ADRB2,BAR
ADRB2,BETA2AR
ADRB2,ADRB2
ADRB3,BETA3AR
ADRB3,ADRB3
GRK2,ADRBK1
GRK2,BARK1
GRK2,BETA-ARK1
GRK2,GRK2
GRK3,ADRBK2
GRK3,BARK2
GRK3,GRK3
ADSL,AMPS
ADSL,ASASE
ADSL,ASL
